beer_name,style,ounces,abv,ibu,brewery_name,city,state
Barney Flats Oatmeal Stout,Oatmeal Stout,12.0 ounce,0.057,13.0,Anderson Valley Brewing Company,Boonville,CA
Hopnoxious Imperial IPA,American Double / Imperial IPA,12.0 oz,0.079,,Sockeye Brewing Company,Boise ID,
Greenwood Beach,Fruit / Vegetable Beer,12.0 oz. Alumi-Tek,0.04%,,Temperance Beer Company,Evanston,IL
Hardywood Cream Ale,Cream Ale,12.0 oz,0.044,18.0,Hardywood Park Craft Brewery,Richmond,VA
Freestyle Pilsner,German Pilsener,12.0 oz.,0.055,,Santa Fe Brewing Company,Santa Fe,NM
Narragansett Cream Ale,Cream Ale,16.0 ounce,0.05,22.0,Narragansett Brewing Company,Providence,RI
Gatecrasher,English India Pale Ale (IPA),12.0 ounce,0.066,,Temperance Beer Company,Evanston,IL
Mother in Lager,Munich Dunkel Lager,12.0 oz.,0.057999999999999996%,25.0,Karbach Brewing Company,Houston,TX
Port Barrel Wee Mac,Scotch Ale / Wee Heavy,16.0 ounce,0.053%,23.0,Sun King Brewing Company,Indianapolis,IN
Train Hopper,American IPA,12.0 oz.,0.057999999999999996%,72.0,Witch's Hat Brewing Company,South Lyon,MI
Rule G IPA,American IPA,12.0 oz,0.07%,88.0,Smartmouth Brewing Company,Norfolk,VA
Saranac Pale Ale (16 oz.),English Pale Ale,16.0 oz,0.055,,Matt Brewing Company,Utica,NY
Greenville Pale Ale,American Pale Ale (APA),12.0 oz.,0.055%,52.0,Twin Lakes Brewing Company,Greenville,DE
Heal the Bay IPA,American IPA,16.0 oz,0.068,65.0,Golden Road Brewing,Los Angeles CA,
Cow Creek,American Amber / Red Lager,12.0 ounce,0.054000000000000006%,26.0,Twisted X Brewing Company,Dripping Springs,TX
Curious Traveler Shandy,Shandy,12.0 oz.,0.044,,The Traveler Beer Company,Burlington,VT
Wick For Brains,Pumpkin Ale,12.0 oz,0.061,11.0,Nebraska Brewing Company,Papillion,NE
Draught Hard Apple Cider,Cider,16.0 oz,0.065,,Uncle John's Fruit House Winery,St. John's,MI
Pride of Texas Pale Ale,American Pale Ale (APA),12.0 OZ.,0.058,60.0,Rahr & Sons Brewing Company,Fort Worth,TX
Modus Hoperandi,American IPA,12.0 oz.,0.068,65.0,Ska Brewing Company,Durango,CO
1554 Black Lager,Euro Dark Lager,12.0 oz.,0.055999999999999994%,21.0,New Belgium Brewing Company,Fort Collins,CO
Outlaw IPA (2015),American IPA,12.0 OZ.,0.065%,,Two Brothers Brewing Company,Warrenville,IL
FMB 101,Kölsch,12.0 oz.,0.048,20.0,Figueroa Mountain Brewing Company,Buellton CA,
Birth IPA,American IPA,12.0 ounce,,,Oskar Blues Brewery,Longmont CO,
Dundee Summer Wheat Beer,American Pale Wheat Ale,12.0 oz.,0.045%,18.0,Dundee Brewing Company,Rochester,NY
Pikeland Pils,German Pilsener,12.0 ounce,0.049%,44.0,Sly Fox Brewing Company,Pottstown,PA
Porkslap Pale Ale,American Pale Ale (APA),12.0 ounce,0.043%,,Butternuts Beer and Ale,Garrattsville,NY
Grapefruit IPA,American IPA,12.0 oz.,0.05,35.0,Perrin Brewing Company,Comstock Park,MI
Chomolungma Honey Nut Brown Ale,English Brown Ale,12.0 ounce,0.067,,Jackie O's Pub & Brewery,Athens,OH
Rodeo Clown Double IPA,American Double / Imperial IPA,12.0 OZ.,0.095%,85.0,Karbach Brewing Company,Houston,TX
Dread Brown Ale,American Brown Ale,12.0 ounce,0.054000000000000006%,,Santa Cruz Mountain Brewing,Santa Cruz,CA
El Steinber Dark Lager,Vienna Lager,16.0 oz,0.055,25.0,Anderson Valley Brewing Company,Boonville,CA
Original Orange Blossom Ale (Current),Herbed / Spiced Beer,16.0 oz.,0.057999999999999996%,35.0,Buckbean Brewing Company,Reno,NV
Dodgy Knight Imperial IPA,American Double / Imperial IPA,12.0 ounce,0.08,95.0,TailGate Beer,San Diego,CA
Festivus (1),Winter Warmer,12.0 oz.,0.07200000000000001%,,Manayunk Brewing Company,Philadelphia,PA
Mazzie,American Pale Ale (APA),12.0 ounce,0.054,45.0,Pollyanna Brewing Company,Lemont,IL
Boat Beer,American IPA,12.0 oz.,0.042,35.0,Carton Brewing Company,Atlantic Highlands,NJ
1327 Pod's ESB,Extra Special / Strong Bitter (ESB),12.0 oz.,0.056,37.0,Blue Blood Brewing Company,Lincoln,NE
Ten Fidy Imperial Stout (2008),Russian Imperial Stout,12.0 oz.,0.095,98.0,Oskar Blues Brewery,Lyons,CO
Woolybugger Wheat,American Pale Wheat Ale,12.0 oz.,0.046,12.0,Sockeye Brewing Company,Boise,ID
