Pokemon_Name,Type,Region,HP,Attack,Evolution_Stage
Charizard,Fire,Kanto,79,91,Final
Machamp,Fighting,Kanto,95,125,Final
Lucario,Fighting,Sinnoh,81,122,Final
Charizard,Fire,Kanto,74,90,Final
Dragonite,Dragon,Kanto,105,133,Final
Lucario,Fighting,Sinnoh,66,125,Final
Gengar,Ghost,Kanto,56,76,Final
Mewtwo,Psychic,Kanto,119,124,Basic
Pikachu,Electric,Kanto,48,50,Basic
Dragonite,Dragon,Kanto,90,134,Final
Dragonite,Dragon,Kanto,88,133,Final
Dragonite,Dragon,Kanto,95,143,Final
Dragonite,Dragon,Kanto,102,134,Final
Charizard,Fire,Kanto,79,82,Final
Machamp,Fighting,Kanto,86,132,Final
Blastoise,Water,Kanto,74,79,Final
Lucario,Fighting,Sinnoh,77,105,Final
Lucario,Fighting,Sinnoh,67,114,Final
Alakazam,Psychic,Kanto,66,52,Final
Machamp,Fighting,Kanto,105,139,Final
Venusaur,Grass,Kanto,75,83,Final
Alakazam,Psychic,Kanto,58,48,Final
Gengar,Ghost,Kanto,61,64,Final
Charizard,Fire,Kanto,83,80,Final
Blastoise,Water,Kanto,74,87,Final
Lucario,Fighting,Sinnoh,68,117,Final
Lucario,Fighting,Sinnoh,72,117,Final
Alakazam,Psychic,Kanto,66,54,Final
Alakazam,Psychic,Kanto,66,56,Final
Machamp,Fighting,Kanto,102,141,Final
Charizard,Fire,Kanto,78,98,Final
Lucario,Fighting,Sinnoh,72,122,Final
Alakazam,Psychic,Kanto,63,62,Final
Pikachu,Electric,Kanto,47,52,Basic
Venusaur,Grass,Kanto,84,95,Final
Venusaur,Grass,Kanto,86,78,Final
Machamp,Fighting,Kanto,85,142,Final
Lucario,Fighting,Sinnoh,82,107,Final
Pikachu,Electric,Kanto,41,56,Basic
Dragonite,Dragon,Kanto,88,139,Final
Mewtwo,Psychic,Kanto,115,123,Basic
Pikachu,Electric,Kanto,39,52,Basic
Machamp,Fighting,Kanto,91,127,Final
Blastoise,Water,Kanto,87,83,Final
Charizard,Fire,Kanto,78,97,Final
Charizard,Fire,Kanto,85,80,Final
Venusaur,Grass,Kanto,80,90,Final
Alakazam,Psychic,Kanto,56,49,Final
Blastoise,Water,Kanto,74,93,Final
Alakazam,Psychic,Kanto,58,51,Final
Blastoise,Water,Kanto,88,82,Final
Dragonite,Dragon,Kanto,89,132,Final
Charizard,Fire,Kanto,89,86,Final
Dragonite,Dragon,Kanto,92,140,Final
Gengar,Ghost,Kanto,55,79,Final
