HospitalName,CountyName,City,HospitalType
cullman regional medical center,cullman,cullman,acute care hospitals
dale medical center,dale,ozark,acute care hospitals
elba general hospital,coffee,elba,acute care hospitals
andalusia regional hospital,covington,andalusia,acute care hospitals
georgiana hospital,butler,georgiana,acute care hospitals
jackson hospital & clinic inc,montgomery,montgomery,acute care hospitals
medical center enterprise,coffee,enterprise,acute care hospitals
riverview regional medical center,etowah,gadsden,acute care hospitals
andalusia regional hospital,covington,andalusia,acute care hospitals
andalusia regional hospital,covington,andalusia,acute care hospitals
st vincents east,jefferson,birmingham,acute care hospitals
huntsville hospital,madison,huntsville,acute care hospitals
cherokee medical center,cherokee,centre,acute care hospitals
dale medical center,dale,ozark,acute care hospitals
elba general hospital,coffee,elba,acute care hospitals
baptist medical center south,montgomery,montgomery,acute care hospitals
marshall medical center north,marshall,guntersville,acute care hospitals
mizell memorial hospital,covington,opp,acute care hospitals
andalusia regional hospital,covington,andalusia,acute care hospitals
flowers hospital,houston,dothan,acute care hospitals
st vincents blount,blount,oneonta,acute care hospitals
andalusia regional hospital,covington,andalusia,acute care hospitals
huntsville hospital,madison,huntsville,acute care hospitals
marion regional medical center,marion,hamilton,acute care hospitals
helen keller memorial hospital,jefferson,sheffield,acute care hospitals
flowers hospital,houston,dothan,acute care hospitals
marion regional medical center,marion,hamilton,acute care hospitals
huntsville hospital,madison,huntsville,acute care hospitals
hartselle medical center,morgan,hartselle,acute care hospitals
georgiana hospital,butler,georgiana,acute care hospitals
crenshaw community hospital,crenshaw,luverne,acute care hospitals
cherokee medical center,cherokee,centre,acute care hospitals
dekalb regional medical center,de kalb,fort payne,acute care hospitals
cherokee medical center,cherokee,centre,acute care hospitals
stringfellow memorial hospital,calhoun,anniston,acute care hospitals
university of alabama hospital,jefferson,birmingham,acute care hospitals
huntsville hospital,madison,huntsville,acute care hospitals
shelby baptist medical center,shelby,alabaster,acute care hospitals
marshall medical center north,marshall,guntersville,acute care hospitals
st vincents east,jefferson,birmingham,acute care hospitals
