Pokemon_Name,Pokemon_Type,Move_Name,Move_Type,Power,Accuracy,Category
Blastoise,Water,Surf,Water,90,100,Special
Charizard,Fire,Flamethrower 123,Fire,90,100,Special
Gengar,Ghost,Shadow Ball,Ghost,80,100,Special
Machamp,Fighting,Close Combat,Fighting,120,150,Physical
Lucario,Fighting,Close Combat,Fighting,120,100,Physical
Dragonite,Dragon,Dragon Pulse,Dragon,300,1,Special
Gengar,Ghost,Shadow Ball,Ghost,80,100,Special
Mewtwo,Psychic,Dragon Pulse,Electric,85,100,Special
Machamp,Fighting,Shadow Ball,Ghost,80,100,Special
Charizard,Fire,Flamethrower,Fire,90,100,Special
Gengar,Electric,Shadow Ball,Ghost,80,100,Special
Blastoise,Water,Surf,Water,90,100,Special
Alakazam,Psychic,Psychic,Psychic,1,100,Special
Alakazam,Psychic,Psychic,Psychic,90,100,Special
Gengar,Ghost,Shadow Ball,Ghost,999,100,Special
Blastoise,Water,Ice Beam,Ice,90,100,Special
Machamp,Fighting,Close Combat,Fighting,120,100,Physical
Blastoise,Water,Surf,Water,90,100,Special
Charizard,Fire,Flamethrower,Fire,90,100,Special
Alakazam,Psychic,Psychic,Psychic,90,100,Special
Venusaur,Grass,Solar Beam,Grass,120,100,Special
Mewtwo,Psychic,Shadow Ball,Ghost,80,100,Special
Gengar,Ghost,Shadow Ball,Ghost,80,1,Special
Mewtwo,Psychic,Psychic,Psychic,90,100,Special
Gengar,Ghost,Ice Beam,Ice,999,1,Special
Charizard,Fire,Flamethrower,Fire,90,100,Special
Dragonite,Dragon,Thunderbolt,Electric,90,100,Special
Lucario,Fighting,Close Combat,Fighting,120,100,Physical
Alakazam,Psychic,Psychic,Electric,300,150,Special
Charizard,Fire,Flamethrower,Fire,90,100,Special
Pikachu,Electric,Thunderbolt,Electric,1,100,Special
Mewtwo,Psychic,Psychic,Psychic,90,100,Special
Venusaur,Grass,Solar Beam,Grass,120,100,Special
Venusaur,Grass,Solar Beam,Grass,120,100,Special
Lucario,Fighting,Iron Head,Fire,80,200,Physical
Venusaur,Grass,Solar Beam,Grass,0,100,Special
Alakazam,Psychic,Psychic,Psychic,1,150,Special
Dragonite,Dragon,Dragon Pulse,Psychic,85,100,Special
Lucario,Fighting,Close Combat,Fighting,120,100,Physical
Machamp,Fighting,Psychic,Psychic,90,100,Special
Lucario,Fighting,Close Combat,Ghost,120,100,Physical
Charizard,Fire,Flamethrower,Fire,90,1,Special
Machamp,Fighting,Close Combat,Ghost,120,100,Physical
Mewtwo,Psychic,Psychic,Psychic,90,100,Special
Dragonite,Dragon,Surf,Water,90,100,Special
Mewtwo,Psychic,Psychic,Psychic,300,100,Special
Venusaur,Grass,Solar Beam,Grass,120,100,Special
Machamp,Fighting,Close Combat,Fighting,120,200,Physical
Blastoise,Water,Iron Head,Steel,80,100,Physical
Alakazam,Psychic,Psychic,Psychic,90,100,Special
