beer-name,ounces,abv,ibu,brewery-name,city,state
Brotherhood Steam,12.0,0.055999999999999994%,,Anchor Brewing Company,San Francisco,CA
Dagger Falls IPA,12.0 oz,0.063,100.0,Sockeye Brewing Company,Boise,ID
Dreamin' Double IPA,12.0,0.085,85.0,Manayunk Brewing Company,Philadelphia,PA
Consilium,12.0,0.05%,40.0,Renegade Brewing Company,Denver,CO
Three Skulls Ale Pale Ale,16.0 oz.,0.063%,42.0,Northwest Brewing Company,Pacific,WA
33 Select Brown Ale,16.0 oz.,0.065,26.0,Okoboji Brewing Company,Spirit Lake,IA
Upslope Belgian Style Pale Ale,12.0 oz.,0.075,30.0,Upslope Brewing Company,Boulder,CO
Santa Fe Oktoberfest,12.0 oz.,,,Santa Fe Brewing Company,Santa Fe,NM
Caldera Pale Ale (2009),12.0,0.056,55.0,Caldera Brewing Company,Ashland,OR
SurlyFest,16.0 oz,0.055,34.0,Surly Brewing Company,Brooklyn Center,MN
Watership Brown Ale,12.0 oz,0.072,55.0,Red Hare Brewing Company,Marietta,GA
Oasis (2010),16.0 oz.,0.07200000000000001%,93.0,Tallgrass Brewing Company,Manhattan,KS
Chupahopra,12.0,0.075,63.0,Twisted X Brewing Company,Dripping Springs,TX
Knotty Pine,12.0,0.054000000000000006%,,Lumberyard Brewing Company,Flagstaff,AZ
Pomegranate Wheat (2008),12.0 oz,0.047%,,Matt Brewing Company,Utica,NY
La Frontera Premium IPA,12.0 oz.,0.078%,,Big Bend Brewing Company,Alpine,TX
Keebarlin' Pale Ale,12.0 oz,0.042,,Anderson Valley Brewing Company,Boonville,CA
Little Boss,12.0 oz.,,,Blue Owl Brewing,Austin,TX
Kölsch 151,12.0 oz,0.049,16.0,Blue Mountain Brewery,Arrington,VA
Thrasher Session India Pale Ale,12.0 oz,0.045,44.0,Defiance Brewing Company,Hays,KS
Four Squared (2015),12.0 oz.,0.06,50.0,Real Ale Brewing Company,Blanco,TX
Gran Sport,16.0,0.052,,COOP Ale Works,Oklahoma City,OK
Green Bullet Organic India Pale Ale,16.0 oz.,0.07,45.0,Asher Brewing Company,Boulder,CO
Vanilla Porter,16.0 oz.,0.047%,25.0,Red Shedman Farm Brewery and Hop...,Mt. Airy,MD
Mutton Buster,12.0 oz.,0.055%,25.0,Payette Brewing Company,Garden City,ID
Special Amber,12.0,0.05%,22.0,Sprecher Brewing Company,Glendale,WI
Pretzel Stout,16.0,0.065,47.0,Martin House Brewing Company,Fort Worth,TX
Pernicious Double IPA,12.0 oz.,0.096,,Blue Blood Brewing Company,Lincoln,NE
The Hole in Hadrian's Wall,16.0 oz,0.095%,19.0,Okoboji Brewing Company,Spirit Lake,IA
Carolina Blonde (2006),12.0,0.05%,,Carolina Beer & Beverage,Mooresville NC,
Steel Wheels ESB,12.0 oz.,0.065,30.0,Blue Mountain Brewery,Afton,VA
Pete's Wicked Summer Brew (2002),12.0,0.047%,,Pete's Brewing Company,San Antonio,TX
Hipster Ale (Two Roads Brewing),12.0 oz.,0.055,,Evil Twin Brewing,Brooklyn,NY
Miner's Gold Hefeweizen,12.0 oz.,0.05,,Lewis and Clark Brewing Company,Helena,MT
O'Fallon Pumpkin Beer,12.0,0.055,,O'Fallon Brewery,O'Fallon,MO
1916 Shore Shiver,12.0 oz.,0.069,65.0,Forgotten Boardwalk,Cherry Hill,NJ
Irregardless IPA,12.0 oz.,0.065,75.0,Liquid Hero Brewery,York PA,
José Martí American Porter,12.0 oz,0.08,65.0,Cigar City Brewing Company,Tampa,FL
Secret Stache Stout,16.0 oz.,0.053%,,Finch's Beer Company,Chicago,IL
Native Amber,16.0 oz.,0.063,35.0,COOP Ale Works,Oklahoma City OK,
