Event,City,Year,Participants,Organizer,Organizer_Country
Chess Masters Cup,Tokyo,2024,12,Alireza Firouzja,France
International Chess League,New York,2024,24,Anish Giri,Netherlands
Chess Master Tournament,Moscow,2022,32,Anish Giri,Netherlands
Chess Grand Prix,Berlin,2022,20,Hikaru Nakamura,USA
Chess Masters Cup,Tokyo,2022,12,Alireza Firouzja,France
Chess Grand Prix,Berlin,2023,20,Alireza Firouzja,France
Chess Tournament Finals,Vienna,2023,16,Alireza Firouzja,France
Chess Master Tournament,Moscow,2024,32,Magnus Carlsen,Norway
Chess Master Tournament,Moscow,2024,32,Fabiano Caruana,USA
Chess Masters Cup,Tokyo,2024,12,Ding Liren,China
Open Chess Championship,Paris,2024,64,Fabiano Caruana,USA
Open Chess Championship,Paris,2023,64,Fabiano Caruana,USA
Chess Master Tournament,Moscow,2024,32,Hikaru Nakamura,USA
International Chess League,New York,2024,24,Fabiano Caruana,USA
Chess Masters Cup,Tokyo,2023,12,Ian Nepomniachtchi,Russia
International Chess League,New York,2022,24,Hikaru Nakamura,USA
World Chess Championship,London,2024,16,Ding Liren,China
Chess Master Tournament,Moscow,2023,32,Fabiano Caruana,USA
Chess Masters Cup,Tokyo,2022,12,Wesley So,USA
Chess Tournament Finals,Vienna,2023,16,Anish Giri,Netherlands
Open Chess Championship,Paris,2022,64,Ding Liren,China
Chess Masters Cup,Tokyo,2023,12,Alireza Firouzja,France
Chess Master Tournament,Moscow,2023,32,Fabiano Caruana,USA
Chess Master Tournament,Moscow,2022,32,Alireza Firouzja,France
Chess Grand Prix,Berlin,2022,20,Wesley So,USA
International Chess League,New York,2024,24,Ding Liren,China
Chess Master Tournament,Moscow,2023,32,Anish Giri,Netherlands
Chess Tournament Finals,Vienna,2022,16,Wesley So,USA
Chess Grand Prix,Berlin,2023,20,Alireza Firouzja,France
World Chess Championship,London,2024,16,Fabiano Caruana,USA
International Chess League,New York,2024,24,Magnus Carlsen,Norway
World Chess Championship,London,2023,16,Ian Nepomniachtchi,Russia
Chess Grand Prix,Berlin,2024,20,Hikaru Nakamura,USA
World Chess Championship,London,2024,16,Wesley So,USA
International Chess League,New York,2023,24,Fabiano Caruana,USA
Open Chess Championship,Paris,2024,64,Hikaru Nakamura,USA
Open Chess Championship,Paris,2023,64,Wesley So,USA
Chess Masters Cup,Tokyo,2023,12,Wesley So,USA
Chess Masters Cup,Tokyo,2024,12,Hikaru Nakamura,USA
Elite Chess Series,Madrid,2022,8,Ian Nepomniachtchi,Russia
Chess Masters Cup,Tokyo,2022,12,Ian Nepomniachtchi,Russia
International Chess League,New York,2022,24,Hikaru Nakamura,USA
Elite Chess Series,Madrid,2023,8,Fabiano Caruana,USA
Open Chess Championship,Paris,2022,64,Alireza Firouzja,France
Elite Chess Series,Madrid,2023,8,Hikaru Nakamura,USA
